id,tipo,archivo_asunto,diagnostico,recomendacion,listo,decision,responsable,notas
"r28","Duplicidad","P-PSEA-10 en 02_prueba_piloto_rondas/00_planificacion","Procedimiento oficial ubicado como documento operativo de ronda.","Mover o consolidar como procedimiento maestro.","si","aprobar","",""
"r29","Duplicidad","P-PSEA-20 en 02_prueba_piloto_rondas/00_planificacion","Procedimiento oficial ubicado como documento operativo de ronda.","Mover o consolidar como procedimiento maestro de gestion.","si","aprobar","",""
"r30","Duplicidad","F-PSEA-01 y F-PSEA-02: plantillas, maestros y copias piloto","Mezcla de formato maestro y registros diligenciados.","Separar plantilla/base, maestro y evidencias de ronda.","si","aprobar","",""
"r31","Duplicidad","F-PSEA-05 a F-PSEA-13 duplicados por ronda","Copias en planificacion y rondas simples/complejas.","Conservar un maestro por codigo y tratar copias como evidencias.","si","aprobar","",""
"r32","Duplicidad","F-PSEA-06 copia en raiz","Existe copia fuera de carpeta de maestros o ronda.","Eliminar o reubicar si no es el maestro.","si","aprobar","",""
"r33","Clasificar","calaire-app_func_docs_sgc.md / calaire-app_reg_docs_sgc.md / calaire-app_registros-sgc.html","Documentan partes de calaire-app, pero no estan codificados.","Usarlos como insumo para DG-PSEA-02.","si","revisar","",""
"r34","Clasificar","ronda_1_completa.csv / ronda_1_equipos.csv / ronda_1_estabilidad.csv / ronda_1_homogeneidad.csv","Evidencias o datasets tecnicos de ronda.","Mapear como registros asociados a F-PSEA-12, F-PSEA-04 y F-PSEA-11A-D.","si","aprobar","",""
"r35","Clasificar","Planificacion_R1_PP (1).md y copia en 01_bloque_general","Documento operativo duplicado.","Consolidar como evidencia de ronda o absorber en F-PSEA-05 / F-PSEA-02.","si","aprobar","",""
"r36","Clasificar","analisis_sgc.md / sgc_res.md / mapa_tentativo_sgc_pea.md / mapa_decisiones_documentales_pea.md","Documentos de analisis y arquitectura, no documentos controlados del SGC.","Mantener como documentos de trabajo; no codificar como P/I/F salvo decision.","si","aprobar","",""
"r37","Clasificar","sesion_grill_sgc_pea_v1.md / sesion_grill_sgc_pea_v2.md","Evidencia interna de diseno documental.","Mantener como soporte historico; no codificar como documento SGC.","si","aprobar","",""
"r38","Clasificar","02_prueba_piloto_rondas/04_informes_operativos/*","Informes operativos del proyecto o piloto.","Clasificar como evidencia de gestion de prueba piloto; no como F-PSEA-13 salvo que sea informe final EA.","si","aprobar","",""
"r39","Clasificar","02_prueba_piloto_rondas/05_evidencias_soporte/* y 06_ronda_fase3/*","Evidencias, Gantt y timelines.","Mantener como soportes operativos; no confundir con formatos maestros.","si","aprobar","",""
"p02","Crear faltante","01_bloque_general/02_procedimientos/P-PSEA-02 Matriz documental basica del PEA.md","P-PSEA-02 estaba definido en ficha y mapa como matriz documental, pero no tenia maestro markdown activo.","Crear matriz documental basica con codigos DG, P, I, F, subformatos, estados y ubicaciones.","si","crear","","Se crea maestro y se actualiza ficha/mapa/goals."
"p03","Crear faltante","01_bloque_general/02_procedimientos/P-PSEA-03 Control de registros y evidencias del PEA.md","P-PSEA-03 estaba definido en ficha y mapa como control de registros/evidencias, pero no tenia maestro markdown activo.","Crear procedimiento con matriz resumen y matriz operativa para registros/evidencias por ronda, incluyendo F-PSEA-02 y F-PSEA-03.","si","crear","","Se crea maestro y se actualiza ficha/mapa/goals."
