Grupo,Etiqueta_eng,Etiqueta Sugerida,Descripcion,Utilidad para el Líder de Proyecto,Categoria_Journal
,Tracking - Deliverable - Technical,Seguimiento - Entregable - Técnico,"Subtag: informes técnicos, protocolos, resultados de rondas EA.","Separar entregables técnicos de administrativos.",[[Prueba Piloto]]
,Tracking - Deliverable - Administrative,Seguimiento - Entregable - Administrativo,"Subtag: informes de gestión, reportes a Corantioquia, memorandos.","Control de entregables contractuales.",[[Gestión Administrativa]]
4. COMUNICACIONES,Meeting - Internal,Reunión - Interna,"Agrupa convocatorias, agendas, recursos y minutas de las reuniones sostenidas con el equipo de trabajo directo del proyecto.","Organiza toda la información relacionada con la sincronización del equipo, asegurando que todos los miembros tengan acceso a los mismos acuerdos.",[[Prueba Piloto]]
,Meeting - External,Reunión - Externa,"Contiene las comunicaciones relativas a reuniones con clientes, proveedores, stakeholders u otros actores externos al equipo directo.","Separa la comunicación estratégica con actores externos, permitiendo una preparación más enfocada y un seguimiento claro de los compromisos.",[[Gestión Administrativa]]
,Communication - Stakeholders,Comunicado - Stakeholders,"Corresponde a anuncios formales, boletines de noticias o actualizaciones importantes enviadas a los interesados clave del proyecto.","Centraliza la comunicación oficial y masiva, garantizando un mensaje consistente y un registro de qué se ha comunicado y cuándo.",[[Gestión Administrativa]]
5. REFERENCIA,Reference - Notes,Referencia - Notas,"Archiva minutas informales, apuntes de llamadas, ideas de brainstorming o cualquier información que sirva de contexto pero no requiera acción.","Guarda el ""conocimiento blando"" del proyecto. Es un archivo de consulta útil para recordar conversaciones pasadas o razonamientos informales.",[[Desarrollo Técnico]]
,Reference - Info Request,Referencia - Solicitud Info,"Marca los correos donde se solicita información a otras personas o equipos, y que están a la espera de una respuesta.","Permite hacer un seguimiento sencillo de las dependencias de información que tiene tu equipo, evitando que las tareas se detengan por falta de datos.",[[Desarrollo Técnico]]
,Reference - Documentation,Referencia - Documentación,"Almacena manuales técnicos, guías de usuario, especificaciones, material de soporte o cualquier documento de consulta técnica.","Crea una biblioteca centralizada de conocimiento técnico, ahorrando tiempo al equipo al no tener que buscar información de soporte en diferentes lugares.",[[Desarrollo Técnico]]
6. OTROS,CALENDAR,CALENDAR,Corresponde a un calendar o meet,Calendario y seguimiento,[[Gestión Administrativa]]
7. OPERACIÓN TÉCNICA,[TECH] Pilot Round,[TECH] Ronda Piloto,"Comunicaciones sobre ejecución de rondas de ensayo de aptitud, confirmaciones de laboratorios, logística de equipos analizadores.","Centraliza toda la operación técnica del proyecto. Permite seguimiento de confirmaciones y coordinación con participantes.",[[Prueba Piloto]]
,[TECH] Pilot Round - Lab Confirmation,[TECH] Ronda - Confirmación Lab,"Subtag: respuestas de laboratorios confirmando o declinando participación en rondas específicas.","Seguimiento granular del estado de confirmaciones por laboratorio.",[[Prueba Piloto]]
,[TECH] Pilot Round - Equipment,[TECH] Ronda - Equipos,"Subtag: logística de transporte, recepción y devolución de analizadores (CO, NOx, SO2, O3).","Control de cadena de custodia y trazabilidad de equipos.",[[Infraestructura]]
,[TECH] Calibration,[TECH] Calibración,"Comunicaciones sobre calibración de equipos, validación de métodos, certificados metrológicos.","Documentación técnica de aseguramiento metrológico.",[[Desarrollo Técnico]]
,[TECH] App Development,[TECH] Desarrollo App,"Comunicaciones sobre CALAIRE-APP: requerimientos, bugs, validación estadística, repositorio.","Gestión del desarrollo del aplicativo estadístico.",[[Desarrollo Técnico]]
8. CALIDAD / SGC,[QMS] Audit,[SGC] Auditoría,"Notificaciones de auditorías internas o externas, hallazgos, acciones correctivas.","Preparación y seguimiento de auditorías ISO 17043.",[[SGC / Calidad]]
,[QMS] Procedure,[SGC] Procedimiento,"Revisión, aprobación o distribución de procedimientos del sistema de gestión de calidad.","Control documental según ISO 17043/13528.",[[SGC / Calidad]]
,[QMS] Accreditation,[SGC] Acreditación,"Comunicaciones con ONAC u organismos de acreditación, requisitos de competencia técnica.","Seguimiento del proceso de acreditación del esquema EA.",[[SGC / Calidad]]
9. INFRAESTRUCTURA,[INFRA] IT,[INFRA] TI,"Equipos de cómputo, software, licencias, soporte técnico.","Gestión de recursos tecnológicos.",[[Infraestructura]]
,[INFRA] Facilities,[INFRA] Instalaciones,"Espacio físico, laboratorio, almacenamiento, adecuaciones.","Coordinación de infraestructura física.",[[Infraestructura]]
,[INFRA] Transport,[INFRA] Transporte,"Logística de transporte de equipos, mensajería, envíos.","Seguimiento de movimientos físicos de equipos.",[[Infraestructura]]
10. ACTIVIDADES TRANSVERSALES,[EVENT] Training,[EVENTO] Capacitación,"Invitaciones, materiales y seguimiento de capacitaciones técnicas para el equipo o participantes.","Gestión del desarrollo de competencias y transferencia de conocimiento.",[[Desarrollo Técnico]]
,[EVENT] Workshop,[EVENTO] Taller,"Talleres prácticos, sesiones de trabajo colaborativo, ejercicios de simulación.","Coordinación de actividades prácticas con laboratorios o equipo interno.",[[Prueba Piloto]]
,[EVENT] Presentation,[EVENTO] Socialización,"Presentaciones formales del proyecto a stakeholders, participantes o autoridades. Incluye webinars y reuniones informativas.","Seguimiento de actividades de divulgación y posicionamiento del esquema EA.",[[Gestión Administrativa]]
,[EVENT] Conference,[EVENTO] Congreso/Evento,"Participación en congresos, ferias, eventos externos de metrología o calidad del aire.","Registro de actividades de visibilidad y networking institucional.",[[Gestión Administrativa]]
